workload_id,dataset_id,model_id,split_id,validation_digest,candidate_id,profile_family,path,is_reference,log_n,slots,chain_length,scale_bits,status,assurance,reason,success_runs,failed_runs,observed_validation,decision_flips_v_cert,error_violations_v_cert,max_observed_error_v_cert,mean_total_ms,threshold,margin_floor,safety_factor,v_cert,v_amb,coverage_rate,min_margin,min_certified_margin,p5_margin,selected,run_tags
banknote__linear_poly3,banknote,linear_poly3,test_seed42_ratio0.3_prefix412_of412,sha256:fa3e9b6c98a464895133f292750bb0c9212fc76ff6df273367a06942d13d794a,deep_chain_8_scale45__baseline_non_rescale,deep_chain_8_scale45,baseline_non_rescale,false,15,16384,8,45,SAFE,OBSERVED_VALIDATION,"zero failures, zero decision flips, and zero error violations on V_cert=412",3,0,true,0,0,1.00000008274e-10,334.444300297,0.5,0.001,0.5,412,0,1,0.0043121153,0.0043121153,0.0234581013,false,tabular_sweep_banknote_linear_poly3_deep_chain_8_scale45_baseline_non_rescale_r1;tabular_sweep_banknote_linear_poly3_deep_chain_8_scale45_baseline_non_rescale_r2;tabular_sweep_banknote_linear_poly3_deep_chain_8_scale45_baseline_non_rescale_r3
banknote__linear_poly3,banknote,linear_poly3,test_seed42_ratio0.3_prefix412_of412,sha256:fa3e9b6c98a464895133f292750bb0c9212fc76ff6df273367a06942d13d794a,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale_aware,false,15,16384,8,45,SAFE,OBSERVED_VALIDATION,"zero failures, zero decision flips, and zero error violations on V_cert=412",3,0,true,0,0,1.00000008274e-10,311.670941478,0.5,0.001,0.5,412,0,1,0.0043121153,0.0043121153,0.0234581013,false,tabular_sweep_banknote_linear_poly3_deep_chain_8_scale45_rescale_aware_r1;tabular_sweep_banknote_linear_poly3_deep_chain_8_scale45_rescale_aware_r2;tabular_sweep_banknote_linear_poly3_deep_chain_8_scale45_rescale_aware_r3
banknote__linear_poly3,banknote,linear_poly3,test_seed42_ratio0.3_prefix412_of412,sha256:fa3e9b6c98a464895133f292750bb0c9212fc76ff6df273367a06942d13d794a,deep_chain_9_scale45__baseline_non_rescale,deep_chain_9_scale45,baseline_non_rescale,false,15,16384,9,45,SAFE,OBSERVED_VALIDATION,"zero failures, zero decision flips, and zero error violations on V_cert=412",3,0,true,0,0,1.00000008274e-10,382.785322689,0.5,0.001,0.5,412,0,1,0.0043121153,0.0043121153,0.0234581013,false,tabular_sweep_banknote_linear_poly3_deep_chain_9_scale45_baseline_non_rescale_r1;tabular_sweep_banknote_linear_poly3_deep_chain_9_scale45_baseline_non_rescale_r2;tabular_sweep_banknote_linear_poly3_deep_chain_9_scale45_baseline_non_rescale_r3
banknote__linear_poly3,banknote,linear_poly3,test_seed42_ratio0.3_prefix412_of412,sha256:fa3e9b6c98a464895133f292750bb0c9212fc76ff6df273367a06942d13d794a,deep_chain_9_scale45__rescale_aware,deep_chain_9_scale45,rescale_aware,false,15,16384,9,45,SAFE,OBSERVED_VALIDATION,"zero failures, zero decision flips, and zero error violations on V_cert=412",3,0,true,0,0,1.00000008274e-10,368.531340702,0.5,0.001,0.5,412,0,1,0.0043121153,0.0043121153,0.0234581013,false,tabular_sweep_banknote_linear_poly3_deep_chain_9_scale45_rescale_aware_r1;tabular_sweep_banknote_linear_poly3_deep_chain_9_scale45_rescale_aware_r2;tabular_sweep_banknote_linear_poly3_deep_chain_9_scale45_rescale_aware_r3
banknote__linear_poly3,banknote,linear_poly3,test_seed42_ratio0.3_prefix412_of412,sha256:fa3e9b6c98a464895133f292750bb0c9212fc76ff6df273367a06942d13d794a,default__baseline_non_rescale,default,baseline_non_rescale,false,14,8192,7,45,SAFE,OBSERVED_VALIDATION,"zero failures, zero decision flips, and zero error violations on V_cert=412",3,0,true,0,0,1.00000008274e-10,145.401472153,0.5,0.001,0.5,412,0,1,0.0043121153,0.0043121153,0.0234581013,false,tabular_sweep_banknote_linear_poly3_default_baseline_non_rescale_r1;tabular_sweep_banknote_linear_poly3_default_baseline_non_rescale_r2;tabular_sweep_banknote_linear_poly3_default_baseline_non_rescale_r3
banknote__linear_poly3,banknote,linear_poly3,test_seed42_ratio0.3_prefix412_of412,sha256:fa3e9b6c98a464895133f292750bb0c9212fc76ff6df273367a06942d13d794a,default__rescale_aware,default,rescale_aware,true,14,8192,7,45,SAFE,OBSERVED_VALIDATION,"zero failures, zero decision flips, and zero error violations on V_cert=412",3,0,true,0,0,2.07900000104e-07,119.330279396,0.5,0.001,0.5,412,0,1,0.0043121153,0.0043121153,0.0234581013,true,tabular_sweep_banknote_linear_poly3_default_rescale_aware_r1;tabular_sweep_banknote_linear_poly3_default_rescale_aware_r2;tabular_sweep_banknote_linear_poly3_default_rescale_aware_r3
banknote__linear_poly3,banknote,linear_poly3,test_seed42_ratio0.3_prefix412_of412,sha256:fa3e9b6c98a464895133f292750bb0c9212fc76ff6df273367a06942d13d794a,scale38__baseline_non_rescale,scale38,baseline_non_rescale,false,14,8192,7,38,SAFE,OBSERVED_VALIDATION,"zero failures, zero decision flips, and zero error violations on V_cert=412",3,0,true,0,0,8.49999998165e-09,145.363037006,0.5,0.001,0.5,412,0,1,0.0043121153,0.0043121153,0.0234581013,false,tabular_sweep_banknote_linear_poly3_scale38_baseline_non_rescale_r1;tabular_sweep_banknote_linear_poly3_scale38_baseline_non_rescale_r2;tabular_sweep_banknote_linear_poly3_scale38_baseline_non_rescale_r3
banknote__linear_poly3,banknote,linear_poly3,test_seed42_ratio0.3_prefix412_of412,sha256:fa3e9b6c98a464895133f292750bb0c9212fc76ff6df273367a06942d13d794a,scale38__rescale_aware,scale38,rescale_aware,false,14,8192,7,38,SAFE,OBSERVED_VALIDATION,"zero failures, zero decision flips, and zero error violations on V_cert=412",3,0,true,0,0,3.89999998962e-09,135.308828016,0.5,0.001,0.5,412,0,1,0.0043121153,0.0043121153,0.0234581013,false,tabular_sweep_banknote_linear_poly3_scale38_rescale_aware_r1;tabular_sweep_banknote_linear_poly3_scale38_rescale_aware_r2;tabular_sweep_banknote_linear_poly3_scale38_rescale_aware_r3
banknote__linear_poly3,banknote,linear_poly3,test_seed42_ratio0.3_prefix412_of412,sha256:fa3e9b6c98a464895133f292750bb0c9212fc76ff6df273367a06942d13d794a,scale40__baseline_non_rescale,scale40,baseline_non_rescale,false,14,8192,7,40,SAFE,OBSERVED_VALIDATION,"zero failures, zero decision flips, and zero error violations on V_cert=412",3,0,true,0,0,1.60000002136e-09,145.502874935,0.5,0.001,0.5,412,0,1,0.0043121153,0.0043121153,0.0234581013,false,tabular_sweep_banknote_linear_poly3_scale40_baseline_non_rescale_r1;tabular_sweep_banknote_linear_poly3_scale40_baseline_non_rescale_r2;tabular_sweep_banknote_linear_poly3_scale40_baseline_non_rescale_r3
banknote__linear_poly3,banknote,linear_poly3,test_seed42_ratio0.3_prefix412_of412,sha256:fa3e9b6c98a464895133f292750bb0c9212fc76ff6df273367a06942d13d794a,scale40__rescale_aware,scale40,rescale_aware,false,14,8192,7,40,SAFE,OBSERVED_VALIDATION,"zero failures, zero decision flips, and zero error violations on V_cert=412",3,0,true,0,0,1.19999998827e-09,135.379270583,0.5,0.001,0.5,412,0,1,0.0043121153,0.0043121153,0.0234581013,false,tabular_sweep_banknote_linear_poly3_scale40_rescale_aware_r1;tabular_sweep_banknote_linear_poly3_scale40_rescale_aware_r2;tabular_sweep_banknote_linear_poly3_scale40_rescale_aware_r3
