timestamp,dataset,model,profile,path,repeat,tag,status,exit_code,summary_path,log_path
2026-06-25T15:36:23+09:00,wdbc,linear_poly3,default,rescale_aware,1,tabular_sweep_wdbc_linear_poly3_default_rescale_aware_r1,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_default_rescale_aware_r1/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_default_rescale_aware_r1.log
2026-06-25T15:36:54+09:00,wdbc,linear_poly3,default,rescale_aware,2,tabular_sweep_wdbc_linear_poly3_default_rescale_aware_r2,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_default_rescale_aware_r2/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_default_rescale_aware_r2.log
2026-06-25T15:37:24+09:00,wdbc,linear_poly3,default,rescale_aware,3,tabular_sweep_wdbc_linear_poly3_default_rescale_aware_r3,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_default_rescale_aware_r3/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_default_rescale_aware_r3.log
2026-06-25T15:37:57+09:00,wdbc,linear_poly3,default,baseline_non_rescale,1,tabular_sweep_wdbc_linear_poly3_default_baseline_non_rescale_r1,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_default_baseline_non_rescale_r1/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_default_baseline_non_rescale_r1.log
2026-06-25T15:38:35+09:00,wdbc,linear_poly3,default,baseline_non_rescale,2,tabular_sweep_wdbc_linear_poly3_default_baseline_non_rescale_r2,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_default_baseline_non_rescale_r2/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_default_baseline_non_rescale_r2.log
2026-06-25T15:39:10+09:00,wdbc,linear_poly3,default,baseline_non_rescale,3,tabular_sweep_wdbc_linear_poly3_default_baseline_non_rescale_r3,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_default_baseline_non_rescale_r3/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_default_baseline_non_rescale_r3.log
2026-06-25T15:39:46+09:00,wdbc,linear_poly3,scale42,rescale_aware,1,tabular_sweep_wdbc_linear_poly3_scale42_rescale_aware_r1,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale42_rescale_aware_r1/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale42_rescale_aware_r1.log
2026-06-25T15:40:19+09:00,wdbc,linear_poly3,scale42,rescale_aware,2,tabular_sweep_wdbc_linear_poly3_scale42_rescale_aware_r2,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale42_rescale_aware_r2/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale42_rescale_aware_r2.log
2026-06-25T15:40:52+09:00,wdbc,linear_poly3,scale42,rescale_aware,3,tabular_sweep_wdbc_linear_poly3_scale42_rescale_aware_r3,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale42_rescale_aware_r3/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale42_rescale_aware_r3.log
2026-06-25T15:41:25+09:00,wdbc,linear_poly3,scale42,baseline_non_rescale,1,tabular_sweep_wdbc_linear_poly3_scale42_baseline_non_rescale_r1,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale42_baseline_non_rescale_r1/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale42_baseline_non_rescale_r1.log
2026-06-25T15:42:01+09:00,wdbc,linear_poly3,scale42,baseline_non_rescale,2,tabular_sweep_wdbc_linear_poly3_scale42_baseline_non_rescale_r2,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale42_baseline_non_rescale_r2/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale42_baseline_non_rescale_r2.log
2026-06-25T15:42:38+09:00,wdbc,linear_poly3,scale42,baseline_non_rescale,3,tabular_sweep_wdbc_linear_poly3_scale42_baseline_non_rescale_r3,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale42_baseline_non_rescale_r3/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale42_baseline_non_rescale_r3.log
2026-06-25T15:43:15+09:00,wdbc,linear_poly3,scale40,rescale_aware,1,tabular_sweep_wdbc_linear_poly3_scale40_rescale_aware_r1,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale40_rescale_aware_r1/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale40_rescale_aware_r1.log
2026-06-25T15:43:51+09:00,wdbc,linear_poly3,scale40,rescale_aware,2,tabular_sweep_wdbc_linear_poly3_scale40_rescale_aware_r2,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale40_rescale_aware_r2/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale40_rescale_aware_r2.log
2026-06-25T15:44:26+09:00,wdbc,linear_poly3,scale40,rescale_aware,3,tabular_sweep_wdbc_linear_poly3_scale40_rescale_aware_r3,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale40_rescale_aware_r3/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale40_rescale_aware_r3.log
